what,kind,bundleId,bundleVersion,description,time
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1320662736129
started,bundle,org.eclipse.xtext,1.0.2.v201102150722,"org.eclipse.xtext",1320662736200
started,bundle,org.eclipse.xtext.builder,1.0.2.v201102150722,"org.eclipse.xtext.builder",1320662736265
started,bundle,org.eclipse.xtext.ui,1.0.2.v201102150722,"org.eclipse.xtext.ui",1320662736339
started,bundle,org.eclipse.xtext.ui.shared,1.0.2.v201102150722,"org.eclipse.xtext.ui.shared",1320662736381
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1320662736425
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1320662736528
started,bundle,com.ge.research.sadl,1.0.27,"com.ge.research.sadl",1320662736555
started,bundle,com.ge.research.sadl.ui,1.0.27,"com.ge.research.sadl.ui",1320662736618
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.3.v20111014-0100,"org.eclipse.mylyn.bugzilla.core",1320662736711
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1320662736747
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1320662736790
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1320662736790
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1320662736822
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1320662736873
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1320662736934
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1320662736967
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.3.v20111026-0100,"org.eclipse.mylyn.tasks.ui",1320662737046
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1320662737151
os,sysinfo,,,"win32",1320662737161
arch,sysinfo,,,"x86",1320662737161
ws,sysinfo,,,"win32",1320662737161
locale,sysinfo,,,"no_NO",1320662737161
processors,sysinfo,,,"2",1320662737162
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1320662737162
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1320662737162
java.specification.name,sysinfo,,,"Java Platform API Specification",1320662737162
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320662737162
